Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6505","Food Household Consumption","2015","2015","TJ","128999.362164","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6505","Food Household Consumption","2016","2016","TJ","128880.965771","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6505","Food Household Consumption","2017","2017","TJ","128500.533371","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6505","Food Household Consumption","2018","2018","TJ","128459.801893","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6505","Food Household Consumption","2019","2019","TJ","127679.883911","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6505","Food Household Consumption","2020","2020","TJ","128761.044272","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6505","Food Household Consumption","2021","2021","TJ","135360.720093","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6505","Food Household Consumption","2022","2022","TJ","123874.756614","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6505","Food Household Consumption","2023","2023","TJ","120730.089928","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","276","Germany","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2013","2013","TJ","124263","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","276","Germany","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2014","2014","TJ","123524","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","276","Germany","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2015","2015","TJ","122921","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","276","Germany","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2016","2016","TJ","129513","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","276","Germany","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2017","2017","TJ","131194","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","276","Germany","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2018","2018","TJ","131421.214","E","Estimated value"
